time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.111,0.128,0.11661904761904761,0.114,0.0051591452824427675,0.063,0.07,0.0654,0.064,0.0022891046284519213,0.581,0.602,0.58885,0.585,0.007478469094674397,0.082,0.08600000000000001,0.08335000000000001,0.083,0.0014239030865898154,0.186,0.20500000000000002,0.19295,0.189,0.007109676504595697,0.063,0.07,0.0658,0.065,0.002293468988235945,0.984,1.042,1.0004,0.988,0.02057036703610317,0.135,0.14300000000000002,0.1376,0.136,0.0024372115213907902,0.425,0.492,0.44499999999999995,0.43,0.025264599739556543,0.03,0.031,0.030350000000000005,0.03,0.00047696960070847325,32,32,4096,11008,32768,True,4096,1
0.114,0.125,0.11819047619047618,0.117,0.002937751774321364,0.064,0.067,0.0655,0.065,0.0012041594578792306,0.586,0.598,0.5906,0.5885,0.004066939881532554,0.082,0.085,0.08325,0.083,0.0009937303457175904,0.187,0.199,0.19290000000000002,0.1915,0.004085339643163102,0.064,0.068,0.06575,0.0655,0.0013738631664034098,0.986,0.999,0.9912500000000002,0.989,0.004276388663346683,0.136,0.14,0.13760000000000003,0.137,0.0013190905958272929,0.427,0.459,0.4427499999999999,0.4365,0.012057673905028292,0.03,0.031,0.030300000000000004,0.03,0.0004582575694955844,32,32,4096,11008,32768,True,4096,1
0.111,0.125,0.12028571428571426,0.12,0.0031943828249996983,0.063,0.069,0.0673,0.067,0.0011445523142259606,0.553,0.581,0.5689,0.5660000000000001,0.007272551134230659,0.081,0.08600000000000001,0.08400000000000002,0.084,0.001095445115010333,0.199,0.213,0.20815000000000006,0.20800000000000002,0.003424543765233545,0.063,0.069,0.0673,0.067,0.0011874342087037928,0.985,1.014,1.001,0.9964999999999999,0.008455767262643889,0.135,0.14,0.13825000000000004,0.138,0.0009937303457175904,0.429,0.481,0.46265,0.461,0.012491096829342095,0.03,0.031,0.030300000000000004,0.03,0.0004582575694955844,32,32,4096,11008,32768,True,4064,1
0.11800000000000001,0.124,0.12123809523809523,0.121,0.0018999940326914256,0.067,0.069,0.06770000000000001,0.068,0.0005567764362830027,0.562,0.578,0.5697000000000001,0.5675000000000001,0.005109794516416475,0.083,0.085,0.08385000000000001,0.084,0.0007262919523166982,0.20600000000000002,0.213,0.20915000000000003,0.209,0.0021971572542719728,0.067,0.069,0.06785000000000001,0.068,0.0006538348415311016,0.994,1.0130000000000001,1.0028000000000001,1.0,0.006982836100038469,0.136,0.139,0.13785000000000003,0.138,0.0009096702699330135,0.455,0.47700000000000004,0.46755,0.46900000000000003,0.006888214572732188,0.029,0.031,0.030100000000000005,0.03,0.0005385164807134502,32,32,4096,11008,32768,True,4032,1
0.116,0.124,0.11833333333333337,0.117,0.0021894407490614543,0.066,0.069,0.06645,0.066,0.0008645808232895299,0.56,0.582,0.56545,0.562,0.007276503281109647,0.082,0.084,0.08245000000000002,0.082,0.0008046738469715547,0.20400000000000001,0.213,0.20670000000000002,0.20500000000000002,0.002951270912674733,0.066,0.068,0.06685,0.067,0.0007262919523166982,0.99,1.0210000000000001,0.9958500000000001,0.992,0.008962561017923434,0.135,0.138,0.13615,0.136,0.0010136567466356656,0.451,0.47800000000000004,0.45765,0.4535,0.00985025380383674,0.029,0.03,0.029150000000000002,0.029,0.0003570714214271416,32,32,4096,11008,32768,True,4000,1
0.114,0.123,0.11690476190476191,0.116,0.002809927331796555,0.064,0.068,0.0654,0.065,0.001356465996625055,0.537,0.559,0.5449499999999999,0.541,0.0077554819321561256,0.081,0.084,0.0821,0.082,0.000994987437106621,0.191,0.203,0.19440000000000002,0.193,0.004164132562731407,0.063,0.068,0.06555000000000001,0.065,0.0014654350889752856,0.985,1.016,0.9930500000000002,0.987,0.01098851673339038,0.133,0.138,0.1347,0.134,0.0015198684153570677,0.439,0.491,0.45154999999999995,0.4395,0.018924785335638565,0.028,0.03,0.029200000000000004,0.029,0.0005099019513592776,32,32,4096,11008,32768,True,3968,1
0.116,0.121,0.11895238095238099,0.11900000000000001,0.0009988655696858552,0.064,0.065,0.0649,0.065,0.00030000000000000024,0.549,0.559,0.5552500000000001,0.555,0.002094636006565343,0.082,0.083,0.08230000000000001,0.082,0.0004582575694955844,0.20400000000000001,0.21,0.20840000000000006,0.209,0.001319090595827283,0.064,0.066,0.06489999999999999,0.065,0.0005385164807134509,0.99,1.014,1.0073000000000003,1.0075,0.005604462507680833,0.134,0.136,0.1346,0.135,0.0005830951894845307,0.47200000000000003,0.47400000000000003,0.4730500000000001,0.47300000000000003,0.0004974937185533104,0.029,0.03,0.029250000000000005,0.029,0.0004330127018922182,32,32,4096,11008,32768,True,3936,1
0.11900000000000001,0.121,0.11961904761904764,0.11900000000000001,0.0007853534524985965,0.065,0.066,0.06509999999999999,0.065,0.00030000000000000024,0.557,0.5640000000000001,0.5603499999999999,0.559,0.0020316249653910064,0.082,0.083,0.08210000000000002,0.082,0.00030000000000000024,0.211,0.214,0.21265,0.213,0.0007921489758877437,0.065,0.066,0.06545,0.065,0.0004974937185533104,1.0090000000000001,1.0210000000000001,1.0141500000000003,1.0130000000000001,0.0043390667199295265,0.134,0.135,0.13429999999999997,0.134,0.0004582575694955844,0.47700000000000004,0.47800000000000004,0.47765,0.47800000000000004,0.0004769696007084733,0.028,0.03,0.028700000000000003,0.029,0.0006403124237432847,32,32,4096,11008,32768,True,3904,1
0.116,0.11800000000000001,0.11690476190476193,0.117,0.0006098213559459862,0.064,0.065,0.06415000000000001,0.064,0.00035707142142714273,0.547,0.554,0.5506500000000002,0.551,0.0019817921182606435,0.08,0.082,0.08095,0.081,0.00038405728739343076,0.20800000000000002,0.212,0.20990000000000003,0.21,0.0008888194417315566,0.064,0.065,0.06445000000000001,0.064,0.0004974937185533104,0.991,1.006,0.9982000000000001,0.998,0.0048744230427815866,0.132,0.134,0.13295,0.133,0.00038405728739343076,0.467,0.47400000000000003,0.47085,0.47100000000000003,0.00230813777751676,0.028,0.029,0.028300000000000002,0.028,0.00045825756949558437,32,32,4096,11008,32768,True,3872,1
0.115,0.11800000000000001,0.11676190476190478,0.117,0.0006834619092574922,0.064,0.065,0.06450000000000002,0.0645,0.0005000000000000004,0.549,0.553,0.55105,0.551,0.001243985530462474,0.08,0.082,0.081,0.081,0.0003162277660168382,0.189,0.192,0.1902,0.19,0.0009273618495495713,0.064,0.065,0.06465000000000001,0.065,0.0004769696007084732,0.9440000000000001,0.9590000000000001,0.9491000000000002,0.9490000000000001,0.003700000000000003,0.132,0.133,0.13260000000000002,0.133,0.000489897948556636,0.47300000000000003,0.47900000000000004,0.4756,0.47400000000000003,0.0020346989949375826,0.028,0.029,0.028300000000000002,0.028,0.0004582575694955844,32,32,4096,11008,32768,True,3840,1
