layer_id	layer_name	comp_time	comm_size
0	attention	1228125	0
0	moe	896088	572129280
1	attention	1228125	0
1	moe	896088	572129280
2	attention	1228125	0
2	moe	896088	572129280
3	attention	597491	0
3	moe	896088	572129280
4	attention	1228125	0
4	moe	896088	572129280
5	attention	1228125	0
5	moe	896088	572129280
6	attention	1228125	0
6	moe	896088	572129280
7	attention	597491	0
7	moe	896088	572129280
8	attention	1228125	0
8	moe	896088	572129280
9	attention	1228125	0
9	moe	896088	572129280
10	attention	1228125	0
10	moe	896088	572129280
11	attention	597491	0
11	moe	896088	572129280
12	attention	1228125	0
12	moe	896088	572129280
13	attention	1228125	0
13	moe	896088	572129280
14	attention	1228125	0
14	moe	896088	572129280
15	attention	597491	0
15	moe	896088	572129280
16	attention	1228125	0
16	moe	896088	572129280
17	attention	1228125	0
17	moe	896088	572129280
18	attention	1228125	0
18	moe	896088	572129280
19	attention	597491	0
19	moe	896088	572129280
20	attention	1228125	0
20	moe	896088	572129280
21	attention	1228125	0
21	moe	896088	572129280
22	attention	1228125	0
22	moe	896088	572129280
23	attention	597491	0
23	moe	896088	572129280
24	attention	1228125	0
24	moe	896088	572129280
25	attention	1228125	0
25	moe	896088	572129280
26	attention	1228125	0
26	moe	896088	572129280
27	attention	597491	0
27	moe	896088	572129280
28	attention	1228125	0
28	moe	896088	572129280
29	attention	1228125	0
29	moe	896088	572129280
30	attention	1228125	0
30	moe	896088	572129280
31	attention	597491	0
31	moe	896088	572129280
32	attention	1228125	0
32	moe	896088	572129280
33	attention	1228125	0
33	moe	896088	572129280
34	attention	1228125	0
34	moe	896088	572129280
35	attention	597491	0
35	moe	896088	572129280
36	attention	1228125	0
36	moe	896088	572129280
37	attention	1228125	0
37	moe	896088	572129280
38	attention	1228125	0
38	moe	896088	572129280
39	attention	597491	0
39	moe	896088	572129280
40	attention	1228125	0
40	moe	896088	572129280
41	attention	1228125	0
41	moe	896088	572129280
42	attention	1228125	0
42	moe	896088	572129280
43	attention	597491	0
43	moe	896088	572129280
44	attention	1228125	0
44	moe	896088	572129280
45	attention	1228125	0
45	moe	896088	572129280
46	attention	1228125	0
46	moe	896088	572129280
47	attention	597491	0
47	moe	896088	572129280
