layer_id	layer_name	comp_time	comm_size
0	attention	305415	16777216
0	moe	451559	127139840
1	attention	305415	16777216
1	moe	451559	127139840
2	attention	305415	16777216
2	moe	451559	127139840
3	attention	173417	16777216
3	moe	451559	127139840
4	attention	305415	16777216
4	moe	451559	127139840
5	attention	305415	16777216
5	moe	451559	127139840
6	attention	305415	16777216
6	moe	451559	127139840
7	attention	173417	16777216
7	moe	451559	127139840
8	attention	305415	16777216
8	moe	451559	127139840
9	attention	305415	16777216
9	moe	451559	127139840
10	attention	305415	16777216
10	moe	451559	127139840
11	attention	173417	16777216
11	moe	451559	127139840
12	attention	305415	16777216
12	moe	451559	127139840
13	attention	305415	16777216
13	moe	451559	127139840
14	attention	305415	16777216
14	moe	451559	127139840
15	attention	173417	16777216
15	moe	451559	127139840
16	attention	305415	16777216
16	moe	451559	127139840
17	attention	305415	16777216
17	moe	451559	127139840
18	attention	305415	16777216
18	moe	451559	127139840
19	attention	173417	16777216
19	moe	451559	127139840
20	attention	305415	16777216
20	moe	451559	127139840
21	attention	305415	16777216
21	moe	451559	127139840
22	attention	305415	16777216
22	moe	451559	127139840
23	attention	173417	16777216
23	moe	451559	127139840
24	attention	305415	16777216
24	moe	451559	127139840
25	attention	305415	16777216
25	moe	451559	127139840
26	attention	305415	16777216
26	moe	451559	127139840
27	attention	173417	16777216
27	moe	451559	127139840
28	attention	305415	16777216
28	moe	451559	127139840
29	attention	305415	16777216
29	moe	451559	127139840
30	attention	305415	16777216
30	moe	451559	127139840
31	attention	173417	16777216
31	moe	451559	127139840
32	attention	305415	16777216
32	moe	451559	127139840
33	attention	305415	16777216
33	moe	451559	127139840
34	attention	305415	16777216
34	moe	451559	127139840
35	attention	173417	16777216
35	moe	451559	127139840
36	attention	305415	16777216
36	moe	451559	127139840
37	attention	305415	16777216
37	moe	451559	127139840
38	attention	305415	16777216
38	moe	451559	127139840
39	attention	173417	16777216
39	moe	451559	127139840
40	attention	305415	16777216
40	moe	451559	127139840
41	attention	305415	16777216
41	moe	451559	127139840
42	attention	305415	16777216
42	moe	451559	127139840
43	attention	173417	16777216
43	moe	451559	127139840
44	attention	305415	16777216
44	moe	451559	127139840
45	attention	305415	16777216
45	moe	451559	127139840
46	attention	305415	16777216
46	moe	451559	127139840
47	attention	173417	16777216
47	moe	451559	127139840
